"unique_locality","Lat","Long","sstmean","dailypp","quaternary","shelf_area","protection","gravity","DOmin","distland"
"bahia_culebra_Costa_Rica",10.639729,-85.706467,28.15763555,0.054605145,526.3995465,0.004635417,"non-protected",7,"201,4268929",0.01
"bahia_san_luis_gonzaga_Mexico_Gulf",29.80552,-114.37281,23.06097031,0.002571,393.7269049,0.0034375,"non-protected",8,"207,6069336",0.02
"bahia_solano_Colombia",6.36955,-77.4772,27.51887322,0.027023501,553.4271387,0.004236111,"non-protected",9,"202,8632431",0.05
"bajo_seco_norte_Mexico_Gulf",25.51154,-110.77045,24.91366386,0.001452,393.7269049,0.000763889,"non-protected",10,"195,4097748",0.24
"bajo_seco_sur_Mexico_Gulf",24.761,-110.5317,24.93378448,0.001734,277.627961,0.000694444,"non-protected",11,"193,2220764",0.13
"boquilla_mexico",15.681128,-96.466026,29.93083,0.00145,414.1866494,4.714285714,"non-protected",12,"#N/A",0.5
"cabo_corrientes_Colombia",5.61111,-77.5337,27.47257245,0.027384126,553.4271387,0.001944444,"medium-size-managed",13,"205,0283308",0.02
"cabo_marzo_Colombia",6.841388,-77.703464,27.56688023,0.0223795,553.4271387,0.001927083,"non-protected",14,"202,0049096",0.02
"cabo_pulmon_Mexico_Gulf",23.49104994,-109.4619083,25.74070047,0.001588211,277.627961,0.003715278,"medium-size-managed",15,"192,7553542",0.01
"carrizalillo_mexico",15.858296,-97.079426,29.93083,0.00145,414.1866494,4.714285714,"non-protected",16,"#N/A",0.5
"clipperton_France",10.298051,-109.218,28.1812973,0.007077,206.5073058,0.000243056,"medium-size-managed",17,"199,421402",9.86
"cocos_Costa_Rica",5.560944,-87.087,28.07321379,0.010033667,239.5376816,0.002118056,"medium-size-highly-protected",18,"200,4904633",4.46
"coiba1_Panama",7.4472,-81.7032,28.35969734,0.026941,296.3766056,0.002083333,"medium-size-highly-protected",19,"204,0711517",0.32
"coiba10_Panama",7.739222,-81.579472,28.38720322,0.028833,296.3766056,0.001059028,"non-protected",20,"203,8521271",0.02
